GEOID,NAME,variable,estimate,moe
29001,"Adair County, Missouri",B19058_002,1170,165
29003,"Andrew County, Missouri",B19058_002,510,137
29005,"Atchison County, Missouri",B19058_002,225,46
29007,"Audrain County, Missouri",B19058_002,1093,190
29009,"Barry County, Missouri",B19058_002,2033,301
29011,"Barton County, Missouri",B19058_002,850,143
29013,"Bates County, Missouri",B19058_002,996,133
29015,"Benton County, Missouri",B19058_002,1321,179
29017,"Bollinger County, Missouri",B19058_002,918,162
29019,"Boone County, Missouri",B19058_002,7024,591
29021,"Buchanan County, Missouri",B19058_002,5859,401
29023,"Butler County, Missouri",B19058_002,3659,308
29025,"Caldwell County, Missouri",B19058_002,453,94
29027,"Callaway County, Missouri",B19058_002,1855,251
29029,"Camden County, Missouri",B19058_002,2017,285
29031,"Cape Girardeau County, Missouri",B19058_002,3543,390
29033,"Carroll County, Missouri",B19058_002,518,106
29035,"Carter County, Missouri",B19058_002,574,134
29037,"Cass County, Missouri",B19058_002,4265,413
29039,"Cedar County, Missouri",B19058_002,1258,228
29041,"Chariton County, Missouri",B19058_002,279,50
29043,"Christian County, Missouri",B19058_002,3201,390
29045,"Clark County, Missouri",B19058_002,298,55
29047,"Clay County, Missouri",B19058_002,7535,541
29049,"Clinton County, Missouri",B19058_002,781,142
29051,"Cole County, Missouri",B19058_002,3208,405
29053,"Cooper County, Missouri",B19058_002,750,114
29055,"Crawford County, Missouri",B19058_002,1690,216
29057,"Dade County, Missouri",B19058_002,443,86
29059,"Dallas County, Missouri",B19058_002,1237,232
29061,"Daviess County, Missouri",B19058_002,360,63
29063,"DeKalb County, Missouri",B19058_002,337,82
29065,"Dent County, Missouri",B19058_002,1072,172
29067,"Douglas County, Missouri",B19058_002,1161,186
29069,"Dunklin County, Missouri",B19058_002,3374,299
29071,"Franklin County, Missouri",B19058_002,4687,454
29073,"Gasconade County, Missouri",B19058_002,683,131
29075,"Gentry County, Missouri",B19058_002,290,65
29077,"Greene County, Missouri",B19058_002,14086,786
29079,"Grundy County, Missouri",B19058_002,532,116
29081,"Harrison County, Missouri",B19058_002,492,97
29083,"Henry County, Missouri",B19058_002,1595,212
29085,"Hickory County, Missouri",B19058_002,693,156
29087,"Holt County, Missouri",B19058_002,212,37
29089,"Howard County, Missouri",B19058_002,452,78
29091,"Howell County, Missouri",B19058_002,3572,367
29093,"Iron County, Missouri",B19058_002,954,122
29095,"Jackson County, Missouri",B19058_002,40639,1027
29097,"Jasper County, Missouri",B19058_002,7225,583
29099,"Jefferson County, Missouri",B19058_002,10317,663
29101,"Johnson County, Missouri",B19058_002,2643,326
29103,"Knox County, Missouri",B19058_002,228,53
29105,"Laclede County, Missouri",B19058_002,2595,355
29107,"Lafayette County, Missouri",B19058_002,1955,322
29109,"Lawrence County, Missouri",B19058_002,2540,236
29111,"Lewis County, Missouri",B19058_002,345,69
29113,"Lincoln County, Missouri",B19058_002,2614,323
29115,"Linn County, Missouri",B19058_002,545,109
29117,"Livingston County, Missouri",B19058_002,836,129
29119,"McDonald County, Missouri",B19058_002,1602,230
29121,"Macon County, Missouri",B19058_002,721,113
29123,"Madison County, Missouri",B19058_002,747,177
29125,"Maries County, Missouri",B19058_002,496,119
29127,"Marion County, Missouri",B19058_002,1440,206
29129,"Mercer County, Missouri",B19058_002,159,43
29131,"Miller County, Missouri",B19058_002,1399,241
29133,"Mississippi County, Missouri",B19058_002,1747,172
29135,"Moniteau County, Missouri",B19058_002,614,131
29137,"Monroe County, Missouri",B19058_002,419,82
29139,"Montgomery County, Missouri",B19058_002,742,97
29141,"Morgan County, Missouri",B19058_002,1417,206
29143,"New Madrid County, Missouri",B19058_002,2023,170
29145,"Newton County, Missouri",B19058_002,2708,305
29147,"Nodaway County, Missouri",B19058_002,1127,219
29149,"Oregon County, Missouri",B19058_002,873,126
29151,"Osage County, Missouri",B19058_002,400,85
29153,"Ozark County, Missouri",B19058_002,1055,163
29155,"Pemiscot County, Missouri",B19058_002,2222,189
29157,"Perry County, Missouri",B19058_002,689,158
29159,"Pettis County, Missouri",B19058_002,2449,268
29161,"Phelps County, Missouri",B19058_002,2260,280
29163,"Pike County, Missouri",B19058_002,1071,175
29165,"Platte County, Missouri",B19058_002,2079,322
29167,"Polk County, Missouri",B19058_002,2186,303
29169,"Pulaski County, Missouri",B19058_002,1942,318
29171,"Putnam County, Missouri",B19058_002,308,80
29173,"Ralls County, Missouri",B19058_002,348,77
29175,"Randolph County, Missouri",B19058_002,1331,170
29177,"Ray County, Missouri",B19058_002,970,161
29179,"Reynolds County, Missouri",B19058_002,518,94
29181,"Ripley County, Missouri",B19058_002,1265,169
29183,"St. Charles County, Missouri",B19058_002,7870,538
29185,"St. Clair County, Missouri",B19058_002,640,105
29186,"Ste. Genevieve County, Missouri",B19058_002,957,180
29187,"St. Francois County, Missouri",B19058_002,4903,453
29189,"St. Louis County, Missouri",B19058_002,40160,1565
29195,"Saline County, Missouri",B19058_002,1395,195
29197,"Schuyler County, Missouri",B19058_002,300,50
29199,"Scotland County, Missouri",B19058_002,187,52
29201,"Scott County, Missouri",B19058_002,3281,402
29203,"Shannon County, Missouri",B19058_002,635,101
29205,"Shelby County, Missouri",B19058_002,316,66
29207,"Stoddard County, Missouri",B19058_002,2371,226
29209,"Stone County, Missouri",B19058_002,1598,235
29211,"Sullivan County, Missouri",B19058_002,284,58
29213,"Taney County, Missouri",B19058_002,3639,426
29215,"Texas County, Missouri",B19058_002,1846,298
29217,"Vernon County, Missouri",B19058_002,1611,238
29219,"Warren County, Missouri",B19058_002,1675,306
29221,"Washington County, Missouri",B19058_002,2051,266
29223,"Wayne County, Missouri",B19058_002,1270,202
29225,"Webster County, Missouri",B19058_002,2090,232
29227,"Worth County, Missouri",B19058_002,88,35
29229,"Wright County, Missouri",B19058_002,1799,205
29510,"St. Louis city, Missouri",B19058_002,34340,1116
